
Clusters Statistics:
Signature	Patterns	Traces	DistinctValues	SharedValues	Sharing	DistinctValuesDistanceMeanMean	DistinctValuesDistanceMeanStdDev	DistinctValuesDistanceMedianMean	DistinctValuesDistancesMedianStdDev	DistinctValuesDistancesThirdQuartileMean	DistinctValuesDistancesThirdQuartileStdDev	DistinctValuesDistanceStdDevMean	DistinctValuesDistanceStdDevStdDev	DistinctValuesMean	DistinctValuesOccurrenciesMean	DistinctValuesOccurrenciesStdDev	DistinctValuesStdDev	EventDistanceMeanMean	EventDistanceMeanStdDev	EventDistanceMedianMean	EventDistanceMedianStdDev	EventDistanceStdDevMean	EventDistanceStdDevStdDev	ValuesMeanOnValuesOccurrenciesMean	ValuesNumberOnValuesDistanceMedian	ValuesNumberOnValuesOccurrenciesPerDistanceMedian	GoMedian	RiMedian	RaMedian
0_changeIDY_filterPanel_comboboxSeries_0	[ changeIDY ]	12	5	0	0.0	2.7916666666666665	9.258910873075491	2.5416666666666665	8.429754675486642	5.583333333333333	18.517821746150982	2.8139656674838407	9.332868291985886	0.8333333333333334	0.375	0.5448623679425842	1.3437096247164246	NaN	NaN	4.708333333333333	11.634106349675319	NaN	NaN	2.2222222222222223	0.3278688524590164	0.8743169398907105	.0.5	0.3333333333333333	0.3333333333333333	RA
0_changeTabNavigator0_0	[ changeTabNavigator0 ]	12	2	0	0.0	0.875	2.2557796139398607	0.875	2.2557796139398607	0.875	2.2557796139398607	0.5416666666666666	1.2493053625470794	0.9166666666666666	0.625	0.6808389432653413	0.9537935951883	NaN	NaN	0.7083333333333334	1.0095034532988096	NaN	NaN	1.4666666666666666	1.0476190476190477	1.6761904761904762	.0.5	0.5	0.5	RA
0_typeIDY_filterPanel_txtInputFind_0	[ typeIDY ]	12	5	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4166666666666667	0.25	0.4330127018922193	0.7592027982620249	NaN	NaN	8.75	28.720274488010496	NaN	NaN	1.6666666666666667	Infinity	Infinity	.0.25	0.25	0.25	RA
0_typeIDY_searchproduct_0	[ typeIDY ]	12	2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.16666666666666666	0.37267799624996495	0.5951190357119042	NaN	NaN	0.08333333333333333	0.2763853991962833	NaN	NaN	1.5	Infinity	Infinity	.0.16666666666666666	0.16666666666666666	0.16666666666666666	RA
0_itemclickButtonBar0_0	[ itemclickButtonBar0 ]	12	4	1	0.25	20.96703608979824	21.176460347452647	12.75	16.62390347261036	30.208333333333332	39.034951396864265	19.787338392423337	23.200755683385747	2.5833333333333335	2.2708333333333335	1.7664979610223999	1.114924013354971	NaN	NaN	10.5	14.896867679705913	NaN	NaN	1.1376146788990826	0.20261437908496732	0.08922468069796725	.1.25	1.25	1.3333333333333333	RI
0_typeIDY_quantity_17_0	[ typeIDY ]	12	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.08333333333333333	0.2763853991962833	0.2763853991962833	NaN	NaN	0.0	0.0	NaN	NaN	1.0	Infinity	Infinity	.0.08333333333333333	0.08333333333333333	0.08333333333333333	RA
0_typeIDY_checkout_phonenr_0	[ typeIDY ]	12	9	0	0.0	0.1111111111111111	0.3685138655950444	0.0	0.0	0.16666666666666666	0.5527707983925666	0.15713484026367722	0.5211573066470477	0.75	0.5277777777777778	0.5350377856738395	0.924211375534118	NaN	NaN	0.16666666666666666	0.37267799624996495	NaN	NaN	1.4210526315789473	Infinity	Infinity	.0.5	0.5	0.5	RA
0_changeIDY_priceSlider_1	[ changeIDY ]	12	109	0	0.0	1.9046265940326936	5.9213625597474735	0.0	0.0	3.3333333333333335	11.055415967851332	2.9839886966271805	8.687912920188095	19.416666666666668	0.5567318594104308	0.5693361238836802	24.642302156161374	NaN	NaN	0.5	0.5	NaN	NaN	34.87615507980552	Infinity	Infinity	.8.25	0.5	0.5	RA
0_typeIDY_checkout_zipcode_0	[ typeIDY ]	12	9	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.5	0.5	1.0897247358851685	NaN	NaN	0.5833333333333334	1.9346977943739834	NaN	NaN	1.5	Infinity	Infinity	.0.5833333333333334	0.5	0.5	RA
0_typeIDY_myphonenr2_0	[ typeIDY ]	12	3	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.16666666666666666	0.372677996249965	0.5951190357119042	NaN	NaN	0.4166666666666667	1.3819269959814167	NaN	NaN	1.5	Infinity	Infinity	.0.16666666666666666	0.16666666666666666	0.16666666666666666	RA
0_changeIDY_priceSlider_0	[ changeIDY ]	12	2	0	0.0	0.7200138356747553	0.8445798956062487	0.5	0.5	0.5	0.5	1.5194974769792424	3.4105784774042878	0.5833333333333334	18.416666666666668	21.738822159649978	0.6400954789890506	NaN	NaN	0.5	0.5	NaN	NaN	0.03167420814479638	1.1666666666666667	0.06334841628959276	.0.5	0.5	0.5	RA
0_typeIDY_addressStreet_0	[ typeIDY ]	12	2	0	0.0	0.041666666666666664	0.13819269959814162	0.041666666666666664	0.13819269959814162	0.041666666666666664	0.13819269959814162	0.041666666666666664	0.13819269959814162	0.16666666666666666	0.125	0.414578098794425	0.5527707983925665	NaN	NaN	0.08333333333333333	0.27638539919628324	NaN	NaN	1.3333333333333333	4.0	32.0	.0.08333333333333333	0.08333333333333333	0.08333333333333333	RA
0_typeIDY_checkout_address_0	[ typeIDY ]	12	9	0	0.0	0.0625	0.2072890493972125	0.0	0.0	0.125	0.414578098794425	0.10825317547305484	0.3590351654086268	0.75	0.5208333333333334	0.5249834653480897	1.0897247358851685	NaN	NaN	0.08333333333333333	0.2763853991962833	NaN	NaN	1.44	Infinity	Infinity	.0.5833333333333334	0.5	0.5	RA
0_typeIDY_pwd_0	[ typeIDY ]	12	2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.08333333333333333	0.2763853991962833	0.5527707983925666	NaN	NaN	0.3333333333333333	1.1055415967851332	NaN	NaN	2.0	Infinity	Infinity	.0.08333333333333333	0.08333333333333333	0.08333333333333333	RA
0_typeIDY_myphonenr1_0	[ typeIDY ]	12	7	0	0.0	0.6190476190476191	2.053148679743819	0.0	0.0	1.25	4.14578098794425	0.73847916282242	2.44925829857774	0.5833333333333334	0.20833333333333334	0.4768967975941499	1.6562172428626494	NaN	NaN	0.20833333333333334	0.6909634979907083	NaN	NaN	2.8000000000000003	Infinity	Infinity	.0.25	0.16666666666666666	0.16666666666666666	RA
0_typeIDY_checkout_fullname_0	[ typeIDY ]	12	7	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5833333333333334	0.5	0.5	0.6400954789890506	NaN	NaN	0.08333333333333333	0.2763853991962833	NaN	NaN	1.1666666666666667	Infinity	Infinity	.0.5	0.5	0.5	RA
0_typeIDY_myphonenr3_0	[ typeIDY ]	12	2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.08333333333333333	0.2763853991962833	0.5527707983925666	NaN	NaN	0.08333333333333333	0.2763853991962833	NaN	NaN	2.0	Infinity	Infinity	.0.08333333333333333	0.08333333333333333	0.08333333333333333	RA
0_changeIDY_addressState_0	[ changeIDY ]	12	2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.16666666666666666	0.3726779962499649	0.3726779962499649	NaN	NaN	0.0	0.0	NaN	NaN	1.0	Infinity	Infinity	.0.16666666666666666	0.16666666666666666	0.16666666666666666	RA

